,year,DirectorID,CompanyID
83124,2010,26013,2
83125,2010,26038,1
83126,2010,26070,1
83127,2010,26123,1
83128,2010,26156,4
83129,2010,26162,1
83130,2010,26167,2
83131,2010,26180,2
83132,2010,26182,2
83133,2010,26183,4
83134,2010,26215,1
83135,2010,26350,1
83136,2010,26533,6
83138,2010,26736,4
83139,2010,26770,3
83140,2010,26882,1
83141,2010,26883,1
83142,2010,27031,1
83143,2010,27100,2
83144,2010,27128,4
83145,2010,27173,4
83146,2010,27185,6
83149,2010,27409,6
83150,2010,27468,6
83151,2010,27496,1
83152,2010,27499,1
83153,2010,27507,8
83154,2010,27660,3
83155,2010,27661,3
83156,2010,27691,4
83157,2010,27836,1
83158,2010,27863,1
83161,2010,28207,1
83162,2010,28675,1
83164,2010,28886,2
83165,2010,29066,2
83166,2010,29176,1
83167,2010,29437,1
83168,2010,29604,1
83170,2010,29808,1
83171,2010,30095,1
83172,2010,30463,6
83173,2010,30508,2
83174,2010,30513,8
83175,2010,30520,2
83176,2010,30710,2
83177,2010,30845,1
83178,2010,30856,2
83179,2010,30929,2
83180,2010,31148,6
83183,2010,31198,2
83184,2010,31203,4
83185,2010,31208,6
83186,2010,31210,4
83187,2010,31220,1
83188,2010,31226,2
83189,2010,31268,1
83190,2010,31281,5
83192,2010,31384,4
83193,2010,31455,1
83195,2010,31460,2
83196,2010,31502,6
83197,2010,31506,2
83198,2010,31509,4
83199,2010,31518,2
83200,2010,31520,1
83201,2010,31521,2
83202,2010,31538,6
83203,2010,31539,1
83204,2010,31555,3
83205,2010,31583,1
83206,2010,31584,1
83207,2010,31587,2
83208,2010,31589,6
83209,2010,31594,2
83210,2010,31596,6
83212,2010,31611,2
83213,2010,31615,2
83214,2010,31621,2
83215,2010,31648,4
83216,2010,31649,2
83217,2010,31664,1
83218,2010,31669,4
83219,2010,31673,6
83220,2010,31692,2
83221,2010,31693,4
83222,2010,31736,4
83223,2010,31793,1
83224,2010,31801,4
83226,2010,31806,4
83227,2010,31844,2
83228,2010,31904,2
83230,2010,31930,1
83231,2010,32006,2
83232,2010,32018,1
83233,2010,32032,2
83234,2010,32037,4
83235,2010,32071,2
83236,2010,32121,4
83237,2010,32149,2
83239,2010,32169,2
83240,2010,32170,4
83241,2010,32183,1
83242,2010,32185,2
83243,2010,32188,2
83244,2010,32202,4
83245,2010,32204,2
83246,2010,32231,1
83247,2010,32243,6
83248,2010,32253,1
83249,2010,32279,1
83250,2010,32302,2
83251,2010,32315,4
83252,2010,32325,1
83253,2010,32333,3
83254,2010,32337,4
83255,2010,32338,4
83257,2010,32349,4
83258,2010,32357,2
83259,2010,32370,6
83260,2010,32379,4
83261,2010,32403,1
83262,2010,32406,2
83263,2010,32412,1
83265,2010,32451,2
83266,2010,32458,2
83267,2010,32460,2
83268,2010,32472,1
83269,2010,32518,2
83270,2010,32529,6
83272,2010,32533,6
83273,2010,32535,2
83274,2010,32537,1
83275,2010,32543,2
83276,2010,32551,6
83277,2010,32557,6
83278,2010,32570,4
83279,2010,32573,1
83280,2010,32578,2
83281,2010,32588,2
83282,2010,32595,2
83283,2010,32597,2
83284,2010,32599,4
83285,2010,32633,2
83286,2010,32637,3
83287,2010,32643,2
83288,2010,32647,1
83289,2010,32648,2
83290,2010,32649,2
83291,2010,32663,2
83292,2010,32667,4
83293,2010,32682,2
83294,2010,32686,6
83295,2010,32693,2
83296,2010,32710,4
83297,2010,32712,2
83298,2010,32713,6
83299,2010,32722,4
83300,2010,32734,2
83302,2010,32743,2
83303,2010,32756,6
83304,2010,32769,2
83306,2010,32774,1
83307,2010,32775,2
83308,2010,32800,2
83309,2010,32814,6
83310,2010,32822,2
83311,2010,32833,2
83312,2010,32838,2
83313,2010,32847,4
83314,2010,32871,1
83315,2010,32897,1
83316,2010,32898,2
83317,2010,32900,1
83318,2010,32905,1
83319,2010,32910,2
83320,2010,32916,2
83321,2010,32919,2
83322,2010,32926,1
83323,2010,32928,6
83324,2010,32932,2
83325,2010,32933,2
83326,2010,32934,2
83327,2010,33003,1
83328,2010,33008,6
83329,2010,33012,2
83330,2010,33015,6
83332,2010,33019,4
83333,2010,33020,1
83334,2010,33033,2
83335,2010,33060,6
83336,2010,33067,1
83337,2010,33068,2
83338,2010,33071,2
83339,2010,33072,2
83340,2010,33102,2
83341,2010,33113,2
83342,2010,33121,1
83343,2010,33126,2
83344,2010,33127,2
83345,2010,33129,2
83346,2010,33131,2
83347,2010,33150,4
83348,2010,33154,2
83350,2010,33163,2
83352,2010,33183,2
83354,2010,33202,2
83355,2010,33205,2
83356,2010,33206,1
83357,2010,33211,2
83358,2010,33212,2
83359,2010,33215,1
83360,2010,33244,1
83361,2010,33247,1
83362,2010,33250,2
83363,2010,33252,1
83364,2010,33271,6
83365,2010,33288,2
83366,2010,33291,1
83367,2010,33296,6
83368,2010,33302,6
83369,2010,33312,3
83370,2010,33316,2
83372,2010,33330,1
83373,2010,33337,6
83375,2010,33346,2
83376,2010,33347,4
83378,2010,33354,6
83379,2010,33362,2
83380,2010,33370,2
83381,2010,33374,6
83382,2010,33379,4
83385,2010,33410,6
83386,2010,33414,1
83387,2010,33416,1
83388,2010,33425,6
83389,2010,33428,2
83390,2010,33433,1
83391,2010,33434,2
83395,2010,33458,6
83396,2010,33459,6
83398,2010,33464,2
83399,2010,33465,4
83401,2010,33467,2
83402,2010,33472,4
83403,2010,33473,2
83404,2010,33481,2
83406,2010,33491,1
83407,2010,33498,2
83408,2010,33500,2
83409,2010,33503,1
83410,2010,33522,4
83411,2010,33526,4
83412,2010,33529,2
83413,2010,33536,2
83414,2010,33539,6
83416,2010,33550,2
83417,2010,33551,6
83418,2010,33558,6
83420,2010,33567,1
83422,2010,33591,1
83423,2010,33620,2
83424,2010,33628,6
83425,2010,33641,6
83427,2010,33653,1
83428,2010,33654,1
83429,2010,33658,1
83431,2010,33666,2
83432,2010,33668,4
83433,2010,33672,1
83434,2010,33673,2
83435,2010,33674,2
83436,2010,33678,6
83437,2010,33684,2
83438,2010,33700,2
83439,2010,33719,6
83440,2010,33721,2
83441,2010,33722,2
83442,2010,33723,2
83443,2010,33724,1
83444,2010,33732,4
83445,2010,33735,2
83446,2010,33738,6
83447,2010,33740,4
83448,2010,33748,6
83449,2010,33763,6
83451,2010,33767,6
83452,2010,33786,6
83453,2010,33787,2
83454,2010,33837,2
83455,2010,33838,2
83456,2010,33840,2
83457,2010,33848,4
83459,2010,33863,2
83460,2010,33884,2
83461,2010,33887,1
83462,2010,33895,6
83463,2010,33906,6
83465,2010,33909,2
83467,2010,33914,1
83468,2010,33916,6
83469,2010,33919,6
83470,2010,33920,2
83471,2010,33922,1
83472,2010,33927,1
83473,2010,33949,4
83474,2010,33956,2
83475,2010,33958,2
83476,2010,33961,1
83477,2010,33962,4
83478,2010,33970,2
83479,2010,33999,6
83480,2010,34003,1
83481,2010,34009,2
83482,2010,34010,1
83483,2010,34015,6
83484,2010,34017,6
83485,2010,34028,4
83486,2010,34066,2
83487,2010,34078,8
83488,2010,34081,2
83489,2010,34087,4
83490,2010,34088,3
83491,2010,34095,6
83492,2010,34100,1
83493,2010,34107,2
83494,2010,34115,4
83495,2010,34138,6
83496,2010,34150,6
83497,2010,34151,1
83498,2010,34156,1
83499,2010,34164,2
83500,2010,34170,2
83501,2010,34173,1
83502,2010,34179,2
83503,2010,34188,2
83505,2010,34204,4
83506,2010,34205,1
83507,2010,34206,2
83508,2010,34222,6
83509,2010,34223,4
83510,2010,34224,1
83511,2010,34228,1
83512,2010,34243,4
83513,2010,34245,2
83514,2010,34266,4
83515,2010,34282,2
83516,2010,34284,2
83517,2010,34289,4
83518,2010,34293,2
83519,2010,34294,1
83520,2010,34295,1
83521,2010,34321,6
83522,2010,34325,4
83523,2010,34329,2
83524,2010,34334,2
83525,2010,34353,2
83527,2010,34359,4
83528,2010,34397,4
83529,2010,34420,2
83531,2010,34429,2
83532,2010,34430,1
83533,2010,34432,2
83534,2010,34434,4
83535,2010,34435,2
83536,2010,34437,6
83537,2010,34465,2
83538,2010,34468,6
83539,2010,34473,2
83540,2010,34479,1
83541,2010,34485,6
83542,2010,34489,2
83543,2010,34490,2
83544,2010,34494,6
83545,2010,34505,2
83546,2010,34507,2
83547,2010,34508,6
83548,2010,34512,4
83549,2010,34514,1
83550,2010,34515,2
83551,2010,34517,2
83552,2010,34518,1
83553,2010,34519,4
83554,2010,34525,2
83555,2010,34533,4
83556,2010,34537,2
83557,2010,34574,4
83558,2010,34575,1
83559,2010,34576,6
83560,2010,34582,1
83561,2010,34593,1
83562,2010,34600,6
83563,2010,34628,6
83564,2010,34676,2
83565,2010,34682,2
83566,2010,34688,2
83567,2010,34700,4
83568,2010,34716,4
83569,2010,34717,2
83570,2010,34730,6
83571,2010,34767,6
83572,2010,34770,4
83573,2010,34775,2
83574,2010,34783,1
83575,2010,34804,6
83576,2010,34806,2
83577,2010,34811,1
83578,2010,34820,2
83579,2010,34834,6
83580,2010,34841,4
83581,2010,34850,2
83583,2010,34867,2
83584,2010,34868,1
83585,2010,34869,2
83586,2010,34873,4
83587,2010,34874,6
83588,2010,34875,6
83589,2010,34879,2
83590,2010,34881,6
83591,2010,34883,1
83592,2010,34884,2
83593,2010,34908,6
83595,2010,34912,2
83597,2010,34930,4
83598,2010,34951,2
83599,2010,34953,1
83600,2010,34956,2
83601,2010,34998,6
83602,2010,34999,1
83603,2010,35010,1
83604,2010,35013,2
83605,2010,35016,4
83607,2010,35020,6
83608,2010,35021,1
83609,2010,35032,4
83610,2010,35037,2
83612,2010,35061,3
83613,2010,35062,6
83614,2010,35066,1
83615,2010,35068,1
83616,2010,35069,2
83617,2010,35083,2
83618,2010,35091,2
83619,2010,35092,6
83620,2010,35098,2
83621,2010,35101,6
83622,2010,35107,4
83623,2010,35132,1
83624,2010,35138,6
83626,2010,35168,2
83627,2010,35169,1
83628,2010,35210,1
83629,2010,35222,6
83630,2010,35224,4
83631,2010,35225,2
83632,2010,35248,3
83633,2010,35256,2
83634,2010,35257,1
83635,2010,35258,1
83636,2010,35264,8
83637,2010,35274,4
83638,2010,35275,2
83639,2010,35277,2
83640,2010,35281,1
83641,2010,35282,1
83642,2010,35288,2
83643,2010,35298,6
83644,2010,35302,1
83645,2010,35326,2
83646,2010,35330,6
83647,2010,35331,6
83648,2010,35335,2
83649,2010,35339,2
83650,2010,35348,2
83651,2010,35352,6
83652,2010,35354,1
83653,2010,35362,1
83654,2010,35426,1
83656,2010,35442,2
83657,2010,35447,2
83658,2010,35448,2
83660,2010,35459,1
83661,2010,35481,2
83662,2010,35482,1
83663,2010,35483,6
83664,2010,35484,2
83665,2010,35492,4
83666,2010,35500,1
83667,2010,35508,4
