,year,DirectorID,CompanyID
142894,2020,356,7
142895,2020,496,2
142896,2020,621,1
142897,2020,826,2
142898,2020,992,1
142899,2020,1032,1
142900,2020,1055,1
142901,2020,1166,2
142902,2020,1392,6
142903,2020,1704,1
142904,2020,2335,3
142905,2020,2443,2
142906,2020,2615,3
142907,2020,3126,1
142908,2020,3193,1
142909,2020,3637,2
142910,2020,3894,1
142911,2020,3908,1
142912,2020,4294,1
142913,2020,4320,2
142914,2020,4343,1
142915,2020,4355,6
142916,2020,4512,6
142917,2020,4707,1
142918,2020,4799,2
142919,2020,4974,1
142920,2020,5815,2
142921,2020,6475,4
142922,2020,6509,2
142923,2020,7157,1
142924,2020,7181,2
142925,2020,7233,2
142926,2020,7339,2
142927,2020,7432,7
142928,2020,7487,3
142929,2020,7801,6
142930,2020,7973,1
142931,2020,8181,1
142932,2020,8472,2
142933,2020,8579,1
142934,2020,8618,1
142935,2020,8731,1
142936,2020,8747,2
142937,2020,8750,1
142938,2020,8755,1
142939,2020,8828,2
142940,2020,9277,2
142941,2020,9490,2
142942,2020,9492,2
142943,2020,9511,1
142944,2020,9531,1
142945,2020,9960,3
142946,2020,10088,2
142947,2020,10151,1
142948,2020,10284,1
142949,2020,10602,4
142950,2020,10892,1
142951,2020,11198,4
142952,2020,11222,2
142953,2020,11269,4
142954,2020,11493,2
142956,2020,11536,2
142957,2020,11757,1
142958,2020,12318,1
142959,2020,12346,2
142960,2020,12499,2
142961,2020,12548,3
142962,2020,12761,4
142963,2020,12769,3
142964,2020,12778,1
142965,2020,13091,1
142966,2020,13106,3
142967,2020,13114,1
142968,2020,13319,6
142969,2020,13474,1
142970,2020,14074,2
142971,2020,14253,2
142972,2020,14583,2
142974,2020,14755,1
142975,2020,14803,1
142976,2020,14927,2
142977,2020,15156,2
142978,2020,15246,1
142979,2020,15284,1
142980,2020,15565,2
142981,2020,15754,1
142982,2020,15834,1
142983,2020,15855,2
142984,2020,15867,2
142985,2020,15919,2
142986,2020,15997,3
142987,2020,16020,2
142988,2020,16070,2
142989,2020,16180,1
142990,2020,16672,1
142991,2020,16689,3
142992,2020,16727,2
142993,2020,17017,1
142994,2020,17041,4
142995,2020,17090,2
142996,2020,17103,2
142997,2020,17152,3
142998,2020,22706,1
142999,2020,22826,1
143000,2020,22944,2
143001,2020,23527,1
143002,2020,23537,1
143003,2020,23569,4
143004,2020,23719,1
143005,2020,24140,1
143006,2020,24211,2
143007,2020,24436,2
143008,2020,24652,2
143009,2020,24688,3
143010,2020,24722,3
143012,2020,24852,2
143013,2020,24858,2
143014,2020,24979,1
143015,2020,25011,1
143016,2020,25012,8
143017,2020,25015,1
143018,2020,25064,1
143019,2020,25598,2
143020,2020,25599,3
143021,2020,25615,4
143022,2020,25679,1
143023,2020,25723,2
143024,2020,25802,1
143025,2020,26035,7
143026,2020,26070,4
143027,2020,26167,1
143028,2020,26180,2
143029,2020,26182,1
143030,2020,26215,2
143031,2020,26533,6
143032,2020,26939,1
143033,2020,27100,2
143034,2020,27147,6
143035,2020,27173,2
143036,2020,27396,2
143037,2020,27468,2
143038,2020,27485,2
143039,2020,27496,1
143042,2020,28022,4
143043,2020,28079,1
143044,2020,28193,4
143045,2020,28207,1
143046,2020,29176,2
143047,2020,30004,1
143048,2020,30023,1
143049,2020,30463,2
143050,2020,30476,1
143051,2020,30513,1
143052,2020,30516,1
143053,2020,30710,2
143054,2020,30806,1
143055,2020,30820,1
143056,2020,30856,1
143057,2020,30973,6
143058,2020,31148,2
143059,2020,31194,1
143060,2020,31226,4
143061,2020,31281,4
143062,2020,31364,1
143063,2020,31379,3
143065,2020,31458,1
143066,2020,31538,4
143067,2020,31546,2
143068,2020,31549,4
143069,2020,31551,2
143070,2020,31555,2
143072,2020,31584,1
143073,2020,31615,4
143074,2020,31621,2
143075,2020,31625,4
143076,2020,31636,1
143077,2020,31648,1
143079,2020,31802,8
143081,2020,31849,1
143082,2020,31858,1
143083,2020,31901,1
143084,2020,32032,2
143086,2020,32169,4
143087,2020,32188,2
143088,2020,32314,6
143089,2020,32315,1
143090,2020,32319,4
143091,2020,32333,1
143092,2020,32337,3
143093,2020,32349,1
143094,2020,32367,2
143095,2020,32374,2
143096,2020,32375,1
143097,2020,32379,2
143098,2020,32382,2
143099,2020,32426,8
143100,2020,32451,1
143101,2020,32454,2
143102,2020,32457,6
143103,2020,32458,4
143104,2020,32459,2
143105,2020,32460,3
143106,2020,32462,2
143107,2020,32480,4
143108,2020,32529,4
143109,2020,32532,4
143110,2020,32546,2
143111,2020,32553,2
143112,2020,32557,2
143113,2020,32603,2
143115,2020,32633,2
143116,2020,32639,4
143117,2020,32643,1
143118,2020,32647,2
143119,2020,32663,2
143120,2020,32734,6
143121,2020,32736,2
143122,2020,32756,2
143123,2020,32757,2
143124,2020,32771,2
143125,2020,32838,2
143126,2020,32896,2
143127,2020,32932,1
143128,2020,32936,2
143129,2020,33002,1
143130,2020,33008,2
143131,2020,33017,2
143132,2020,33020,6
143133,2020,33049,2
143134,2020,33051,1
143135,2020,33060,6
143136,2020,33066,1
143137,2020,33069,6
143138,2020,33153,1
143139,2020,33154,2
143140,2020,33167,2
143141,2020,33202,2
143142,2020,33205,2
143143,2020,33211,1
143144,2020,33291,4
143145,2020,33293,2
143146,2020,33294,2
143147,2020,33296,6
143148,2020,33305,2
143150,2020,33337,1
143152,2020,33347,4
143154,2020,33356,2
143156,2020,33374,6
143157,2020,33381,2
143158,2020,33401,6
143159,2020,33425,6
143161,2020,33464,2
143162,2020,33467,1
143163,2020,33481,2
143165,2020,33484,5
143166,2020,33500,6
143167,2020,33503,2
143168,2020,33522,6
143169,2020,33526,2
143170,2020,33529,2
143171,2020,33533,2
143172,2020,33536,8
143173,2020,33539,2
143174,2020,33546,1
143175,2020,33551,4
143176,2020,33558,4
143177,2020,33577,1
143178,2020,33620,4
143180,2020,33642,2
143181,2020,33643,1
143182,2020,33650,1
143183,2020,33659,6
143184,2020,33661,6
143185,2020,33666,6
143186,2020,33673,1
143187,2020,33674,3
143188,2020,33691,2
143189,2020,33694,6
143190,2020,33702,1
143191,2020,33723,2
143192,2020,33735,6
143193,2020,33748,5
143194,2020,33763,2
143196,2020,33824,1
143197,2020,33838,1
143199,2020,33844,1
143200,2020,33848,2
143201,2020,33852,2
143202,2020,33854,4
143203,2020,33868,4
143204,2020,33884,2
143206,2020,33906,2
143207,2020,33907,6
143209,2020,33920,2
143210,2020,33925,6
143211,2020,33926,3
143212,2020,33927,1
143213,2020,33951,2
143214,2020,33962,4
143215,2020,34059,2
143216,2020,34081,1
143217,2020,34084,1
143218,2020,34089,2
143219,2020,34107,1
143220,2020,34115,4
143221,2020,34133,6
143222,2020,34138,2
143223,2020,34150,1
143224,2020,34164,6
143225,2020,34167,2
143226,2020,34170,6
143227,2020,34179,2
143228,2020,34188,2
143229,2020,34192,1
143231,2020,34245,3
143232,2020,34252,1
143233,2020,34266,4
143234,2020,34294,2
143235,2020,34334,6
143236,2020,34345,1
143237,2020,34346,1
143238,2020,34351,4
143240,2020,34358,2
143241,2020,34361,1
143242,2020,34371,6
143243,2020,34388,4
143244,2020,34391,6
143245,2020,34397,4
143246,2020,34407,2
143247,2020,34425,2
143248,2020,34435,1
143249,2020,34436,2
143250,2020,34465,2
143251,2020,34470,1
143252,2020,34485,6
143253,2020,34505,2
143255,2020,34519,4
143256,2020,34525,2
143257,2020,34531,3
143258,2020,34533,1
143259,2020,34574,6
143260,2020,34576,2
143261,2020,34584,1
143262,2020,34603,4
143263,2020,34628,4
143264,2020,34645,4
143265,2020,34673,2
143267,2020,34712,2
143268,2020,34717,1
143269,2020,34730,2
143270,2020,34775,2
143271,2020,34804,2
143272,2020,34806,4
143273,2020,34834,2
143274,2020,34841,6
143275,2020,34852,2
143276,2020,34868,5
143277,2020,34875,6
143278,2020,34879,1
143279,2020,34910,4
143280,2020,34911,2
143281,2020,34920,4
143282,2020,34925,6
143283,2020,34930,2
143284,2020,34963,1
143285,2020,35013,4
143286,2020,35016,1
143287,2020,35018,2
143288,2020,35020,2
143289,2020,35021,2
143290,2020,35045,2
143291,2020,35062,1
143292,2020,35091,1
143293,2020,35092,4
143294,2020,35107,4
143295,2020,35168,6
143296,2020,35223,2
143297,2020,35226,2
143298,2020,35234,6
143299,2020,35248,1
143300,2020,35262,1
143301,2020,35264,4
143302,2020,35277,1
143304,2020,35330,3
143305,2020,35331,2
143306,2020,35348,2
143307,2020,35354,1
143308,2020,35359,2
143309,2020,35432,4
143310,2020,35446,6
143312,2020,35454,2
143313,2020,35459,1
143314,2020,35469,1
143315,2020,35470,2
143316,2020,35481,2
143317,2020,35482,1
143318,2020,35484,1
143319,2020,35496,6
143320,2020,35520,8
143321,2020,35575,4
143322,2020,35587,2
143323,2020,35589,3
143324,2020,35591,2
143325,2020,35607,4
143326,2020,35615,2
143327,2020,35625,6
143328,2020,35655,1
143329,2020,35666,2
143332,2020,35694,2
143333,2020,35695,4
143334,2020,35698,2
143335,2020,35716,3
143337,2020,35795,2
143338,2020,35797,2
143339,2020,35815,2
143340,2020,35823,2
143341,2020,35824,2
143342,2020,35837,6
143343,2020,35854,1
143344,2020,35889,2
143345,2020,35893,1
143346,2020,35915,2
143347,2020,35925,2
143348,2020,35928,2
143349,2020,35937,6
143350,2020,35940,6
143351,2020,35953,1
143352,2020,35959,4
143353,2020,35971,2
143354,2020,35974,4
143355,2020,35975,1
143356,2020,35981,2
143357,2020,36003,4
143358,2020,36014,6
143359,2020,36035,3
143360,2020,36068,4
143361,2020,36084,2
143362,2020,36095,2
143363,2020,36098,3
143365,2020,36118,6
143366,2020,36119,1
143367,2020,36147,1
143368,2020,36160,2
143369,2020,36170,2
143370,2020,36175,1
143371,2020,36194,1
143372,2020,36206,2
143373,2020,36212,1
143374,2020,36220,1
143375,2020,36230,6
143376,2020,36232,4
143377,2020,36252,2
143378,2020,36255,1
143379,2020,36263,2
143380,2020,36272,4
143381,2020,36276,2
143382,2020,36279,4
143383,2020,36293,1
143384,2020,36294,1
143385,2020,36301,2
143386,2020,36308,2
143387,2020,36310,4
143389,2020,36334,1
143391,2020,36350,2
143392,2020,36353,2
143393,2020,36369,2
143394,2020,36387,2
143395,2020,36412,6
143396,2020,36422,1
143397,2020,36439,6
143398,2020,36446,4
143399,2020,36474,1
143400,2020,36501,6
143401,2020,36514,6
143402,2020,36525,6
143403,2020,36527,2
143404,2020,36533,6
143406,2020,36556,6
143407,2020,36559,2
143408,2020,36569,1
143409,2020,36572,1
143410,2020,36590,1
143411,2020,36600,2
143412,2020,36614,4
143413,2020,36615,6
143414,2020,36619,1
143415,2020,36630,5
143416,2020,36633,2
143417,2020,36656,1
143418,2020,36666,2
143419,2020,36669,2
143420,2020,36681,2
143421,2020,36702,2
143422,2020,36710,2
143423,2020,36737,5
143424,2020,36748,2
143425,2020,36772,4
143426,2020,36774,4
143427,2020,36777,2
143428,2020,36799,1
143430,2020,36812,1
143431,2020,36839,2
143432,2020,36842,2
143433,2020,36843,2
143434,2020,36850,6
143435,2020,36851,6
143436,2020,36852,2
143437,2020,36855,1
143440,2020,36869,2
143441,2020,36871,2
143442,2020,36878,2
143444,2020,36902,2
143445,2020,36903,4
143446,2020,36908,6
143447,2020,36915,2
143448,2020,36920,1
143450,2020,37086,6
143451,2020,37201,2
143452,2020,37261,2
143453,2020,37336,2
143454,2020,37411,2
143455,2020,37611,1
143456,2020,37701,1
143457,2020,37851,3
143458,2020,37901,1
143459,2020,38036,3
143460,2020,38116,1
143461,2020,38156,1
143462,2020,38166,2
143463,2020,38236,2
143464,2020,38356,1
143465,2020,38361,1
143466,2020,38391,1
143467,2020,38401,1
143468,2020,38411,2
143469,2020,38516,6
143470,2020,38536,3
143471,2020,38581,2
143472,2020,38656,6
143473,2020,38676,1
143475,2020,38761,6
143476,2020,38771,6
143477,2020,38866,1
143478,2020,38981,6
143479,2020,39031,6
143480,2020,39061,4
143482,2020,39101,1
143483,2020,39126,6
143484,2020,39256,2
143486,2020,39426,4
143487,2020,39691,2
143488,2020,39796,2
143489,2020,40221,6
143490,2020,40291,2
143491,2020,40361,2
143492,2020,40426,1
143493,2020,40441,1
143494,2020,40751,4
143495,2020,40761,2
143496,2020,40811,6
143497,2020,40836,1
143498,2020,40881,4
143499,2020,40891,1
143500,2020,40941,1
143501,2020,41031,4
143502,2020,41056,6
143503,2020,41071,2
143504,2020,41171,2
143505,2020,41186,1
143506,2020,41196,1
143507,2020,41301,1
143509,2020,41361,2
143510,2020,41376,2
143511,2020,41421,2
143512,2020,41481,2
143513,2020,41506,4
143514,2020,41541,1
143515,2020,41596,4
143516,2020,41606,1
143517,2020,41626,1
143518,2020,41801,2
143519,2020,41806,6
143521,2020,42116,2
143522,2020,42286,2
143523,2020,42386,6
143524,2020,42401,6
143525,2020,42436,1
143526,2020,42471,1
143527,2020,42506,6
143528,2020,42531,1
143529,2020,42571,1
143530,2020,42576,2
143531,2020,42686,1
143532,2020,42856,6
143533,2020,42866,1
143534,2020,42891,4
143535,2020,42986,6
143536,2020,43001,1
143537,2020,43101,2
143538,2020,43111,2
143539,2020,43126,4
143540,2020,43186,2
143541,2020,43191,8
143542,2020,43201,1
143543,2020,43236,2
143544,2020,43241,2
143545,2020,43261,4
143547,2020,43386,2
143548,2020,43416,2
143549,2020,43441,2
143550,2020,43526,2
143551,2020,43546,1
143552,2020,43556,4
143554,2020,43646,4
143555,2020,43676,6
143557,2020,43731,6
143558,2020,43826,1
143560,2020,44006,2
143561,2020,44041,1
143562,2020,44071,2
143563,2020,44091,2
143564,2020,44136,2
143565,2020,44151,4
143566,2020,44211,1
143567,2020,44321,2
143569,2020,44536,1
143570,2020,44576,2
143571,2020,44731,6
143572,2020,44776,6
143573,2020,44841,6
143574,2020,44846,2
143575,2020,44881,2
143576,2020,45141,1
143577,2020,45176,1
143578,2020,45261,4
143579,2020,45386,3
143580,2020,45426,2
143581,2020,45541,6
143582,2020,45561,6
143583,2020,45566,2
143584,2020,45601,6
143585,2020,45621,1
143586,2020,45641,4
143588,2020,45681,1
143589,2020,45761,4
143590,2020,45836,1
143591,2020,46026,4
143592,2020,46271,1
143593,2020,46326,2
143595,2020,46401,2
143596,2020,46421,1
143597,2020,46436,6
143598,2020,46451,1
143599,2020,46686,6
143600,2020,46721,2
143601,2020,46761,6
143603,2020,46901,4
143604,2020,46926,3
143605,2020,47031,6
143606,2020,47046,2
143607,2020,47101,2
143608,2020,47186,1
143609,2020,47211,2
143610,2020,47231,3
143611,2020,47331,1
143612,2020,47406,6
143613,2020,47426,2
143615,2020,47596,2
143616,2020,47651,1
143617,2020,47736,2
143618,2020,47766,2
143619,2020,47876,2
143620,2020,47896,2
143621,2020,47926,2
143622,2020,47991,6
143623,2020,47996,1
143624,2020,48021,4
143625,2020,48076,2
143626,2020,48326,1
143627,2020,48426,4
143628,2020,48441,2
143629,2020,48526,2
143630,2020,48591,1
143631,2020,48601,6
143632,2020,48701,4
143633,2020,48721,1
143634,2020,48806,1
143635,2020,48811,8
143636,2020,48986,6
143637,2020,49021,1
143638,2020,49071,1
143639,2020,49246,4
143640,2020,49251,4
143642,2020,49341,2
143643,2020,49351,2
143644,2020,49516,6
143645,2020,49681,1
143646,2020,49771,6
143647,2020,49811,2
143648,2020,49896,2
143649,2020,49961,6
143650,2020,49966,2
143651,2020,50106,1
143652,2020,50121,2
143653,2020,50231,1
143654,2020,50416,2
